"Data Source","World Development Indicators",

"Last Updated Date","2016-12-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"European Union","EUU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219454133","222241787","221340419","221359477","221609886","222074024","223563524","224767938","225910198","227374734","228735414","229198546","229906167","231953114","234446641","236543133","238968231","240644293","242846051","243571999","243993578","244642513","245514897","246971989","247074464","","",
"Fragile and conflict affected situations","FCS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89467987","92129531","94962194","97981283","101231963","104524344","107404786","110344950","113266117","116288415","119825273","123297280","126959607","130765866","134603005","138501522","142348638","146425112","150527134","154642479","159127014","163259620","167621128","172133089","176906401","","",
"Finland","FIN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2615122","2574560","2532862","2509114","2488993","2514605","2520441","2508474","2531149","2582094","2613986","2632359","2639388","2627409","2621608","2644600","2681000","2707055","2735198","2709981","2700262","2714975","2720985","2721261","2714587","","",
"Fiji","FJI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","253432","259340","266116","273707","281383","289744","295999","298124","300091","301413","302546","306978","310727","313931","317388","320861","320941","322110","325794","330904","335825","338854","341807","344579","347161","","",
"France","FRA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25884659","25769792","26018917","26189931","26301855","26472290","26800832","26745195","26889846","27173218","27355030","27423753","27699195","28329759","28462836","28801367","28954412","29187450","29401216","29654973","29800775","29832749","30022332","30052000","30183767","","",
"Faroe Islands","FRO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","348297","355873","364417","373398","381020","389700","398691","408778","418578","429381","439738","450301","461237","471726","483266","495891","510402","526061","542090","558587","575556","592028","610094","627647","645573","","",
"United Kingdom","GBR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29316619","29201542","28914741","28701206","28684556","28641172","28811150","28951851","28975914","29306128","29510178","29548771","29852850","30128896","30383510","30662175","31175248","31286031","31695036","31850479","31977257","32196994","32533294","32772204","33021739","","",
"Georgia","GEO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2320417","2368303","2437473","2466950","2445604","2385530","2333237","2294821","2281503","2271306","2194252","2279817","2211538","2244272","2191120","2175854","2154534","2133065","2117677","2105818","2087405","2067905","2052252","2033780","2017915","","",
"Ghana","GHA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5851620","6043306","6245240","6481673","6724212","6971274","7203456","7442583","7701538","7962130","8236250","8377027","8508988","8643793","8770668","8901243","9030102","9303129","9601766","9889878","10204954","10492132","10789001","11068845","11372106","","",
"Gibraltar","GIB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2424507","2548297","2690853","2842579","2988550","3120324","3210939","3283014","3343701","3406765","3473769","3537916","3601551","3666366","3755240","3843346","3944273","4065610","4187337","4334718","4481685","4614476","4759602","4910555","5060746","","",
"Gambia, The","GMB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","382862","393399","404280","415538","427633","440802","452530","466189","481112","496488","513382","528172","545755","563100","581357","601182","619336","638591","659018","680690","704502","726214","750157","774458","801157","","",
"Guinea-Bissau","GNB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","402989","409855","418828","428347","438775","449634","457888","469403","495957","509416","523188","538514","556766","574180","590790","607387","624090","641840","659679","679304","698812","717893","737071","758147","780016","","",
